,Principal Component 1,Principal Component 2,AL Values,idx,Labels,Status
0,-0.12353458,-0.097107194,0.49324587,77,1,Pool
1,-0.1377808,-0.018540524,0.4815138,40,2,Pool
2,0.079294905,-0.31716654,0.46375817,81,0,Pool
3,-0.03168121,-0.041295644,0.46839863,47,2,Pool
4,-0.12536529,-0.011044427,0.48185983,51,2,Pool
5,0.18401098,0.3108672,0.48586348,28,0,Pool
6,-0.12534048,-0.08749478,0.49042374,53,1,Pool
7,-0.13930894,-0.03941019,0.48110607,26,1,Pool
8,0.4852399,0.21938829,0.46796387,41,1,Pool
9,0.111191176,0.0025789381,0.47416863,13,0,Pool
10,-0.12468335,0.014000204,0.47176754,10,2,Pool
11,-0.07801655,-0.032826032,0.48104948,68,2,Pool
12,-0.11241337,-0.048680462,0.49371722,16,2,Pool
13,-0.15353304,-0.032217618,0.48391497,52,0,Pool
14,-0.068771444,-0.10704545,0.4958309,60,2,Pool
15,-0.13186982,-0.07233774,0.4771233,74,1,Pool
16,-0.12738766,-0.039706804,0.481411,43,1,Pool
17,-0.1024821,0.032208066,0.47169828,6,2,Pool
18,-0.14113835,-0.025323609,0.47580814,35,2,Pool
19,0.03291232,0.025311615,0.48203826,73,0,Pool
20,-0.14136851,-0.08990079,0.49255115,32,1,Pool
21,-0.15821223,-0.13012616,0.51437277,14,1,Pool
22,-0.10752198,-0.020894568,0.48188284,63,2,Pool
23,-0.10684278,-0.011575457,0.48706502,56,2,Pool
24,-0.08741749,0.031681728,0.49760976,33,0,Pool
25,-0.07933354,-0.02303055,0.47985214,58,2,Pool
26,1.3937427,-0.54302365,0.5412348,75,0,Pool
27,-0.08669768,-0.03878409,0.4875213,64,2,Pool
28,-0.092022695,-0.1062707,0.47654012,72,2,Pool
29,0.118074894,-0.016973762,0.50072366,31,0,Pool
30,-0.04888387,-0.035852373,0.50112617,24,2,Pool
31,1.4456928,0.0019666282,0.6916001,30,1,Pool
32,-0.14750405,-0.045049146,0.48736635,86,1,Pool
33,-0.12709053,-0.054555282,0.48649484,48,2,Pool
34,0.84284174,0.156007,0.50614065,25,1,Pool
35,-0.14784229,-0.037205476,0.48329335,50,1,Pool
36,-0.10528451,0.19485039,0.47742882,69,0,Pool
37,-0.10575764,-0.028538153,0.48204944,88,2,Pool
38,-0.11583765,-0.024588559,0.4886943,95,2,Pool
39,-0.1348192,-0.019817999,0.48268318,0,2,Pool
40,-0.07532104,0.014342339,0.4750922,66,1,Pool
41,-0.13196091,-0.016706701,0.48053417,3,2,Pool
42,-0.124688715,-0.003444062,0.47952166,89,2,Pool
43,0.5284433,0.31085145,0.5159518,79,1,Pool
44,-0.15335946,0.03525463,0.48066998,19,2,Pool
45,0.19391339,0.06746371,0.47924343,11,1,Pool
46,-0.098707646,-0.041319314,0.48470545,65,2,Pool
47,-0.097063206,0.03618138,0.47873527,70,2,Pool
48,-0.11254157,-0.0830743,0.4823995,36,1,Pool
49,-0.13882451,-0.041688066,0.48240837,8,2,Pool
50,-0.14277022,0.122359805,0.47089222,38,0,Pool
51,-0.17925434,0.14117011,0.47708508,9,0,Pool
52,0.18288285,0.43291602,0.46432918,21,0,Pool
53,-0.05770909,-0.09924013,0.4875467,92,1,Pool
54,-0.14547648,-0.09960605,0.48804492,20,1,Pool
55,-0.022309847,0.036146328,0.46449158,85,2,Pool
56,-0.14926009,-0.04402079,0.49143952,22,1,Pool
57,-0.058745664,-0.07635397,0.48369515,83,2,Pool
58,0.27182135,0.007586567,0.422455,90,0,Pool
59,-0.09985696,0.062082008,0.46527094,67,1,Pool
60,-0.09491208,-0.07954462,0.4822179,5,2,Pool
61,-0.089600936,-0.053951994,0.47735897,62,1,Pool
62,-0.1346401,-0.110683344,0.4762475,78,1,Pool
63,-0.15839489,-0.056114472,0.49419418,45,1,Pool
64,0.11540903,0.56882113,0.4371523,61,0,Pool
65,0.0024876578,0.4233263,0.428457,84,0,Pool
66,0.12995529,0.55453634,0.43887696,23,0,Pool
67,-0.002649485,-0.13016018,0.510106,87,0,Pool
68,0.10300138,0.0795593,0.5086174,34,0,Pool
69,-0.0020655314,-0.29996628,0.46102545,46,0,Pool
70,-0.1427269,-0.093769036,0.4878934,55,1,Pool
71,0.0112801045,-0.12628399,0.4672352,39,0,Pool
72,-0.12435433,-0.06277135,0.4780323,2,1,Pool
73,-0.12578295,0.020028932,0.4810892,27,1,Pool
74,-0.13237582,-0.03938881,0.49074438,57,2,Pool
75,-0.15724912,0.15078731,0.4723208,80,0,Pool
76,0.26907903,0.004023926,0.5123477,29,0,Pool
77,-0.08249566,-0.36850137,0.41649595,59,0,To sample
78,-0.06880851,0.23488167,0.46341234,94,0,Pool
79,-0.16395487,0.11380174,0.47720373,76,0,Pool
80,0.26666182,0.18390353,0.5103232,82,0,Pool
81,-0.03993613,-0.39557245,0.43665227,44,1,Pool
82,-0.04263799,-0.10554698,0.48657984,18,0,Pool
83,-0.0023087764,-0.2908838,0.46509048,4,1,Pool
84,0.10932281,0.045518972,0.49572846,12,0,Pool
85,-0.121106826,0.0020288187,0.48201305,15,2,Train
86,-0.15607364,-0.09802109,0.4969518,54,1,Train
87,-0.06938345,0.049741272,0.47171172,91,1,Train
88,0.6487019,-0.27316925,0.53218246,7,0,Train
89,0.33525753,0.0013365626,0.45854238,49,1,Train
90,0.077513956,0.523439,0.43973494,71,0,Train
91,-0.107541494,-0.02222755,0.482897,1,2,Train
92,-0.13832374,-0.057335373,0.49567047,93,1,Train
93,-0.12698309,-0.121540755,0.4916746,17,2,Train
94,-0.15327708,0.15514962,0.47641292,42,0,Train
95,-0.1975559,0.12117008,0.47084054,37,0,Train
