,Principal Component 1,Principal Component 2,Labels,Status
0,-4.92645770058539,8.698093006766666,2,Pool
1,-62.52826367347216,32.93903424639487,2,Train
2,-28.86955671988301,10.336205685907785,1,Pool
3,42.288441195854055,73.89844952833411,2,Pool
4,40.96815224069475,-10.54008049351577,1,Pool
5,-22.453021456507987,72.80840134685856,2,To sample
6,18.028652021577187,3.9300453372317525,2,Pool
7,-31.139732357295337,-5.71680714313498,0,Train
8,27.0114374686037,-27.254934707975583,2,Pool
9,-76.92882268410699,19.744912493522484,0,Pool
10,47.53145733838262,-6.698076247976484,2,Pool
11,12.43643034929886,-2.7630206389167546,1,Pool
12,-39.70279845884944,2.904467332744441,0,Pool
13,30.8743266723543,4.84740242733415,0,Train
14,-137.06758523863428,-5.434050707431966,1,Pool
15,61.666723399340334,-53.7850087882193,2,Train
16,-31.972003990387105,-3.4172360483349413,2,Pool
17,-52.416802702028605,-6.293066270669129,2,Train
18,-58.916829645199215,7.792746382218123,0,Pool
19,-43.919192771296004,47.11697919832884,2,Pool
20,47.708178768231726,-4.608864515280625,1,Pool
21,27.702134693406645,5.076829127176097,0,Pool
22,72.28742134496795,-10.939199265564119,1,Pool
23,-77.11556859509575,-4.158367336342597,0,Pool
24,309.68174064645666,-2.1657749154433024,2,Pool
25,-12.472997219900963,9.643202962997181,1,Pool
26,54.41049681722442,-37.01599343969394,1,Pool
27,-76.14632513541328,-18.27444429830725,1,Pool
28,-101.27202676349707,22.25269062477545,0,To sample
29,-82.4898553106052,26.655817822987338,0,Pool
30,35.16539718655872,-16.770155819878518,1,Pool
31,-83.29146567037102,10.972907188861976,0,Pool
32,-12.817824246962386,4.057595054118889,1,Pool
33,182.9408115548591,149.76484481712276,0,Pool
34,-162.19516142205688,-4.516934520243738,0,Train
35,49.337395617477604,-29.30965362120942,2,Pool
36,18.30267898214822,-53.317826784729846,1,Train
37,-91.05266465460191,13.076112569867993,0,Train
38,266.2872624529742,70.04940913002144,0,Pool
39,-53.36049345176973,21.62273902642647,0,Pool
40,-45.965080623330195,-21.35208740798417,2,Pool
41,37.568505261161626,-92.14970863494572,1,Pool
42,-0.0888629522351527,8.916144165500745,0,Train
43,81.17853824871246,-31.076622721560785,1,Pool
44,-16.755060101880975,-25.198909693328286,1,Pool
45,-30.056814810231703,18.59259873940337,1,Pool
46,-40.00787524965561,0.049144990238651466,0,Pool
47,8.089550934562325,0.5725005448797847,2,Pool
48,-54.72230040494864,21.156403091471063,2,Pool
49,78.96128769572525,-23.03110151349937,1,Pool
50,97.7749831661479,-30.320494610439074,1,Pool
51,82.37418709238752,1.8769268388269984,2,Pool
52,-84.54185073298213,16.25187403301723,0,Pool
53,-17.11323752759771,-6.185136296235908,1,Pool
54,-120.68996762416499,-19.72317256917487,1,Train
55,20.751430707233922,-14.203020233759759,1,Pool
56,45.616269400627054,-7.5299283201586436,2,Pool
57,142.85205693787134,5.227674331919563,2,To sample
58,-52.071786907015635,4.78311110910982,2,Pool
59,-61.00597176427369,66.98402046951254,0,Pool
60,-59.13627372036285,-23.223685856072006,2,Pool
61,-136.37795626004916,2.1611537470097852,0,Pool
62,50.60070490303058,-59.59897337772343,1,Pool
63,49.281403914553294,-35.38538398863169,2,Pool
64,29.837924751153064,-33.767658056655605,2,Pool
65,256.11100975366156,56.056652100423136,2,Pool
66,18.061936574790355,-17.959821089524695,1,Pool
67,-80.02497994531147,-21.26155319928725,1,Pool
68,167.13597636203156,-16.80749676843381,2,Pool
69,296.0693573465252,26.19468857342107,0,Pool
70,-41.61359596798462,-12.474598661037907,2,Train
71,-90.60447902142134,24.31447462620405,0,Train
72,-37.290952203789054,-8.963176689078278,2,Pool
73,-68.18074507337944,22.074992140965673,0,Pool
74,-0.02600957051675214,18.845953420809582,1,Pool
75,-38.74101273998723,57.45748490138788,0,Pool
76,-106.26917099760921,50.938655623482816,0,Pool
77,-114.08223539315696,-19.540934647880146,1,Pool
78,92.88377938228301,-70.97514219793388,1,Pool
79,77.0629724057679,-12.624920002578074,1,Pool
80,-56.20331191802725,-22.341826696888393,0,Pool
81,-48.02613212090568,-12.900440003964754,0,Pool
82,-115.84142611912343,22.418781654872166,0,Pool
83,21.100031541032656,-22.804744165993146,2,Pool
84,-124.36129938170593,-19.87767767939418,0,Pool
85,-19.556559185592636,-9.03385764068464,2,Pool
86,131.5388960409893,-68.92193129806992,1,Pool
87,-101.22361409379968,45.368835815019324,0,Train
88,31.39469500489222,-32.1698122886344,2,Pool
89,69.61065250493695,49.87802167836251,2,To sample
90,-83.3012737050786,14.428218834997944,0,Pool
91,-47.87179526919567,-14.769524667911638,1,Train
92,25.721855442680617,-12.759544876860692,1,Train
93,105.53259563888352,-11.770541124235288,1,Train
94,-131.60237705079211,-0.47041311121131685,0,Pool
95,4.6697185425723875,-18.583861088193206,2,Pool
