,Principal Component 1,Principal Component 2,Labels,Status
0,-4.926457700586359,8.69809234085237,2,Pool
1,-62.5282636734735,32.93903377946061,2,Train
2,-28.8695567198829,10.336207789548936,1,Pool
3,42.28844119585497,73.89844956028176,2,Train
4,40.96815224069646,-10.540081367342896,1,Pool
5,-22.453021456506118,72.80839944987125,2,Train
6,18.02865202157509,3.930045638569186,2,Pool
7,-31.139732357294786,-5.716806079778945,0,Train
8,27.011437468603557,-27.25493549527514,2,Pool
9,-76.92882268410634,19.74491342651304,0,Pool
10,47.53145733838126,-6.698075807479983,2,Pool
11,12.436430349297819,-2.7630219718996445,1,Pool
12,-39.70279845884955,2.904467845335631,0,Pool
13,30.874326672354208,4.847403515438614,0,Pool
14,-137.06758523863377,-5.434048784588166,1,To sample
15,61.666723399338345,-53.78500925122572,2,Train
16,-31.97200399038619,-3.417238962468268,2,Pool
17,-52.41680270202902,-6.293066719472144,2,Train
18,-58.91682964519881,7.792746295797111,0,Pool
19,-43.91919277129422,47.11698058222749,2,Pool
20,47.708178768231505,-4.608864557899919,1,Pool
21,27.702134693405664,5.076831933754314,0,Pool
22,72.28742134496729,-10.939198698340535,1,Pool
23,-77.11556859509467,-4.158369487571844,0,Pool
24,309.681740646456,-2.165774773419155,2,Pool
25,-12.47299721990059,9.643203593502662,1,Pool
26,54.410496817222615,-37.01599234450424,1,To sample
27,-76.14632513541406,-18.27444184939755,1,Pool
28,-101.27202676349509,22.2526913087416,0,Pool
29,-82.4898553106033,26.655820595700163,0,Pool
30,35.16539718656038,-16.770156357604296,1,Pool
31,-83.29146567037586,10.972905280606383,0,Pool
32,-12.817824246961804,4.05759623832058,1,Train
33,182.94081155486063,149.76484335938525,0,Pool
34,-162.19516142205512,-4.5169353900137965,0,Pool
35,49.33739561747994,-29.309651552058554,2,Pool
36,18.302678982147857,-53.31782565053584,1,Pool
37,-91.05266465460136,13.076111648310466,0,Train
38,266.2872624529796,70.04941045853671,0,Pool
39,-53.36049345176979,21.62273882292857,0,Pool
40,-45.96508062333038,-21.3520863044567,2,Pool
41,37.56850526115989,-92.14971096658242,1,Pool
42,-0.08886295223170972,8.916145548363883,0,Train
43,81.17853824871165,-31.07662147937768,1,Pool
44,-16.755060101881078,-25.19890760622168,1,Pool
45,-30.056814810231163,18.59260117254735,1,Pool
46,-40.00787524966192,0.04914462853571564,0,Pool
47,8.089550934563734,0.5724985609510136,2,Pool
48,-54.722300404947404,21.156402872066273,2,Pool
49,78.96128769572474,-23.03110344376966,1,Pool
50,97.77498316614651,-30.3204939934077,1,Pool
51,82.37418709238743,1.8769271065874171,2,Pool
52,-84.54185073298348,16.251873549574945,0,Pool
53,-17.113237527598628,-6.185139601402598,1,Pool
54,-120.68996762416454,-19.723170993180617,1,Train
55,20.75143070723361,-14.203019486169984,1,Pool
56,45.61626940062711,-7.529928093886462,2,Train
57,142.85205693786995,5.227675903478057,2,Pool
58,-52.07178690701519,4.783111913664223,2,Pool
59,-61.0059717642719,66.98402066548655,0,Pool
60,-59.13627372036169,-23.223685970923746,2,Pool
61,-136.37795626004896,2.161153218447689,0,Pool
62,50.60070490302821,-59.59897299200046,1,Pool
63,49.28140391455105,-35.385386379245205,2,To sample
64,29.8379247511514,-33.76765982204754,2,Pool
65,256.1110097536685,56.05665365342022,2,Pool
66,18.061936574789367,-17.959821627260077,1,Pool
67,-80.02497994531173,-21.261550647023487,1,Pool
68,167.13597636203042,-16.807497727130073,2,Pool
69,296.06935734652336,26.19468697907453,0,Pool
70,-41.61359596798505,-12.474601540702357,2,Train
71,-90.60447902142332,24.31447366233376,0,Train
72,-37.29095220378943,-8.963176994856271,2,Pool
73,-68.18074507337663,22.074989736295265,0,Pool
74,-0.026009570516414216,18.845953422182028,1,Pool
75,-38.74101273998714,57.45748578737566,0,Pool
76,-106.26917099760794,50.938655797490085,0,Pool
77,-114.08223539315672,-19.54093232509237,1,Pool
78,92.88377938228211,-70.9751445555222,1,Pool
79,77.06297240576725,-12.624920907720432,1,Pool
80,-56.20331191802635,-22.341827922418013,0,Pool
81,-48.026132120907214,-12.900436792180871,0,Pool
82,-115.84142611912266,22.418782376230624,0,Pool
83,21.100031541032102,-22.804745352392704,2,Pool
84,-124.36129938170556,-19.87767897001068,0,Pool
85,-19.55655918559294,-9.033857797970628,2,Pool
86,131.5388960409859,-68.92192734331637,1,Pool
87,-101.22361409379653,45.3688336194669,0,Pool
88,31.394695004891574,-32.16981480093596,2,Pool
89,69.61065250493596,49.87802176846393,2,Pool
90,-83.30127370507653,14.428217322606553,0,Pool
91,-47.87179526919521,-14.76952559087105,1,Train
92,25.721855442680006,-12.759545119145935,1,Train
93,105.53259563888304,-11.770540851735129,1,Train
94,-131.60237705079265,-0.47041238638273125,0,To sample
95,4.669718542573162,-18.58386124210903,2,Pool
