,Principal Component 1,Principal Component 2,AL Values,idx,Labels,Status
0,-0.041363295,-0.15220758,0.42672795,39,0,Pool
1,-0.18166171,-0.057378776,0.50795263,65,2,Pool
2,0.08070716,0.01157686,0.5402982,10,2,Pool
3,-0.25044903,-0.020726752,0.5409282,64,2,Pool
4,0.1677404,-0.028615506,0.5307281,3,2,Pool
5,0.092017435,-0.10011682,0.5270836,95,2,Pool
6,-0.15786776,-0.31219155,0.5296499,86,1,Pool
7,-0.1334135,0.2220661,0.5243351,87,0,Pool
8,-0.06831885,-0.21122538,0.5032752,27,1,Pool
9,0.08597594,-0.13337387,0.55996525,60,2,Pool
10,0.14861172,0.50410646,0.665157,28,0,Pool
11,-0.23193203,0.01868402,0.5811189,57,2,Pool
12,0.48806456,-0.19154996,0.543802,90,0,Pool
13,-0.21024883,0.42437363,0.5419254,9,0,Pool
14,0.006085383,-0.27789313,0.5208669,67,1,Pool
15,-0.12167517,0.46683782,0.5980699,23,0,Pool
16,-0.080143794,-0.22294478,0.5032883,43,1,Pool
17,-0.39008552,0.39155045,0.33805558,18,0,To sample
18,-0.41461667,0.05325241,0.43509305,4,1,Pool
19,-0.098159306,-0.3348727,0.52474993,20,1,Pool
20,-0.20534205,0.10380627,0.57948047,56,2,Pool
21,0.080626234,0.1353498,0.5190355,12,0,Pool
22,-0.076213285,-0.28792578,0.5376687,78,1,Pool
23,0.22921239,0.49465147,0.6433677,82,0,Pool
24,0.12648173,-0.12433994,0.52120566,40,2,Pool
25,-0.5532634,-0.087511264,0.5060507,14,1,Pool
26,0.2296612,-0.4678011,0.49521738,31,0,Pool
27,0.6963232,0.66289955,0.6825668,79,1,Pool
28,-0.19843866,-0.30339083,0.5226269,74,1,Pool
29,-0.093695894,0.47114572,0.58647037,21,0,Pool
30,0.44680515,-0.38064834,0.5226058,85,2,Pool
31,0.24425726,-0.41963968,0.51164305,11,1,Pool
32,-0.16253376,0.42444763,0.6060641,84,0,Pool
33,-0.02825397,-0.3058139,0.52837723,55,1,Pool
34,-0.06895503,0.017624335,0.5543189,88,2,Pool
35,-0.25002685,0.15735689,0.5671771,68,2,Pool
36,-0.24442717,-0.033412416,0.39480826,46,0,Pool
37,0.69824106,-0.46073323,0.5373808,29,0,Pool
38,-0.10052074,-0.28216988,0.51924556,92,1,Pool
39,0.31882334,-0.36595172,0.5124569,73,0,Pool
40,0.20935334,-0.25887072,0.48936245,33,0,Pool
41,-0.05390809,-0.2868999,0.5221242,32,1,Pool
42,-0.08708865,0.20767683,0.54908776,34,0,Pool
43,1.2156355,-0.21348676,0.5326267,41,1,Pool
44,1.9427488,1.0974607,0.6818592,30,1,Pool
45,-0.24518064,-0.06253266,0.5491862,16,2,Pool
46,0.28279436,-0.0032773775,0.54674816,35,2,Pool
47,-0.0660848,-0.20462511,0.49689806,26,1,Pool
48,0.05830802,-0.19212769,0.5288616,0,2,Pool
49,-0.26349214,0.45904642,0.5825333,94,0,Pool
50,-0.3390403,0.12467038,0.60946935,47,2,Pool
51,-0.022930067,0.28300115,0.54020435,13,0,Pool
52,-0.86992824,0.6597836,0.5903475,72,2,Pool
53,-0.1926147,0.47756106,0.5404089,76,0,Pool
54,0.051826186,-0.10525637,0.53078693,63,2,Pool
55,1.4376043,0.6381262,0.5449957,75,0,Pool
56,0.18693188,-0.09663708,0.54593754,89,2,Pool
57,0.032096677,-0.10486377,0.5474694,51,2,Pool
58,-0.08275011,-0.2765755,0.5281657,36,1,Pool
59,-0.2659088,0.43400142,0.5764305,80,0,Pool
